NM_MUNICIPIO,NM_VOTAVEL,SG_PARTIDO,QT_VOTOS,PERCENTAGE
CABREÚVA,MANGINI,PL,15660,0.5966396159561093
CABREÚVA,HENRIQUE MARTIN,MDB,9535,0.36327961290814187
CABREÚVA,PAULINHO DE MELO,AGIR,1052,0.04008077113574885
ITAPIRAPUÃ PAULISTA,CESAR CONSTRUVALE,PSD,1970,0.7282809611829945
ITAPIRAPUÃ PAULISTA,GONZAGA,PT,735,0.27171903881700554
TORRINHA,RODOLFO BUZATO,PODE,2847,0.5729523042865767
TORRINHA,RENÉ BLUMER,MDB,2122,0.4270476957134232
BOTUCATU,FABIO LEITE,PSD,50853,0.7574624642516683
BOTUCATU,ROSE  IELO,PDT,12316,0.1834485224022879
BOTUCATU,THALITA TAVARES,PSOL,2272,0.033841754051477595
BOTUCATU,DOMINGOS NEVES,PT,1695,0.025247259294566254
VÁRZEA PAULISTA,PROFESSOR RODOLFO,PSD,52644,0.9109061651065008
VÁRZEA PAULISTA,MARLY CALDAS,PSOL,2934,0.05076739397504888
VÁRZEA PAULISTA,RIVALDO,REPUBLICANOS,1722,0.02979599605488554
VÁRZEA PAULISTA,ROGÉRIO MATAVELLI,PDT,493,0.00853044486356479
ITATIBA,DR THOMÁS,PSD,42710,0.7189751531883375
ITATIBA,DOUGLAS,PDT,15222,0.25624537068210895
ITATIBA,VALTER LARA,PT,1472,0.024779476129553564
VINHEDO,DR. DARIO,PSD,22966,0.5518815783149902
VINHEDO,NIL RAMOS,PP,9298,0.22343442110828088
VINHEDO,EDSON PC,PSB,5716,0.13735762003172008
VINHEDO,PINA,REDE,3115,0.07485461623492094
VINHEDO,PROF SYLLA CONSCIÊNCIA LIMPA,PDT,320,0.007689719805834575
VINHEDO,DAVI PINTOR,PV,199,0.004782044504253376
INDAIATUBA,DR CUSTÓDIO,MDB,83731,0.6525273149519163
INDAIATUBA,BRUNO GANEM,PODE,40453,0.31525584875075985
INDAIATUBA,PROFESSORA BEL,PT,3452,0.02690191555354666
INDAIATUBA,FRODO,PSTU,682,0.005314920743777179
BRAGANÇA PAULISTA,EDMIR CHEDID,UNIÃO,44263,0.49655597935831275
BRAGANÇA PAULISTA,JOSÉ DE LIMA,PSD,40850,0.4582678932017052
BRAGANÇA PAULISTA,TÂNIA CLEMENTE,PSOL,2259,0.0253421584025129
BRAGANÇA PAULISTA,JOÃO CARLOS CARVALHO,SOLIDARIEDADE,937,0.010511554857527484
BRAGANÇA PAULISTA,DR CÉSAR ALVES,AGIR,831,0.009322414179941665
FERNÃO,BILL,PL,522,0.346843853820598
FERNÃO,ZÉ FODRA,PSD,521,0.3461794019933555
FERNÃO,LUCIANA ANDERY,REPUBLICANOS,427,0.2837209302325581
FERNÃO,LEANDRO,PSDB,35,0.023255813953488372
CACONDE,ZÉ AFONSO,MDB,5528,0.5909771220868077
CACONDE,NESTORZINHO,PSD,3826,0.4090228779131922
PRACINHA,LAERCIO BIASI,PRD,784,0.585511575802838
PRACINHA,SILVELI LIMA - SIL,PSD,555,0.4144884241971621
SÃO FRANCISCO,TIAOZINHO,REPUBLICANOS,1337,0.6221498371335505
SÃO FRANCISCO,MAURICIO,PSD,715,0.33271288971614704
SÃO FRANCISCO,PIMENTA,PDT,97,0.045137273150302464
ITAPEVI,TECO,PODE,86936,0.7372205827482107
ITAPEVI,CAMILA GODOI,PSB,30988,0.26277941725178927
IPUÃ,RONY,REPUBLICANOS,7155,0.7931493182573994
IPUÃ,ITAMAR JR,CIDADANIA,1866,0.2068506817426006
ITAQUAQUECETUBA,DELEGADO EDUARDO BOIGUES,PL,165975,0.9170396154483673
ITAQUAQUECETUBA,FABIANO DO PT,PT,9027,0.049875683739433116
ITAQUAQUECETUBA,ADRIANA DO HOSPITAL ,PDT,3614,0.019967954030609424
ITAQUAQUECETUBA,ARMANDO DA FARMÁCIA,SOLIDARIEDADE,2374,0.013116746781590144
CARAGUATATUBA,MATEUS SILVA,PSD,26850,0.37258547957371224
CARAGUATATUBA,NETO BOTA,UNIÃO,20313,0.28187444493783304
CARAGUATATUBA,BADUCA,PL,12403,0.17211090142095914
CARAGUATATUBA,CORONEL STANELIS,PP,11246,0.15605572824156305
CARAGUATATUBA,FABIO FERREIRA,PDT,1252,0.017373445825932504
ANDRADINA,MARIO CELSO LOPES,PSD,22690,0.739545647143183
ANDRADINA,JAMIL ONO,REPUBLICANOS,6856,0.22346077376878198
ANDRADINA,MESSIAS,PT,1135,0.03699357908803494
SANTA BÁRBARA D'OESTE,RAFAEL PIOVEZAN,PL,56735,0.5770913011636423
SANTA BÁRBARA D'OESTE,DR JOSÉ,UNIÃO,32864,0.3342826918382293
SANTA BÁRBARA D'OESTE,ELIEL MIRANDA,PSD,5463,0.055567987631214906
SANTA BÁRBARA D'OESTE,VANDERLEI LARGUESA,PT,3250,0.0330580193669135
SÃO ROQUE,GUTO ISSA,PSD,30173,0.7301744791036469
SÃO ROQUE,CABO JEAN,PL,9487,0.2295815889456235
SÃO ROQUE,CHUMBINHO,SOLIDARIEDADE,1663,0.04024393195072962
SÃO MANUEL,ODIRLEI BAIXINHO,PP,6323,0.30068001331494604
SÃO MANUEL,MARCIA OLIVEIRA,PSD,6256,0.2974939369442199
SÃO MANUEL,HIONITA PERES,PODE,6200,0.29483094773883683
SÃO MANUEL,JOÃO PAULO,PL,2250,0.10699510200199724
RIO GRANDE DA SERRA,AKIRA AURIANI,PSB,17508,0.6858082964471777
RIO GRANDE DA SERRA,MARCELO AKIRA,PODE,4182,0.163813702064319
RIO GRANDE DA SERRA,PENHA,PSD,3554,0.13921422695757765
RIO GRANDE DA SERRA,AARAO EDMUNDO JARDIM TEIXEIRA,DC,285,0.011163774530925614
SÃO PEDRO,THIAGO SILVA,PSD,10194,0.5363005050505051
SÃO PEDRO,ANGELO CAPELLARI,PP,7089,0.3729482323232323
SÃO PEDRO,KINHO,MDB,946,0.04976851851851852
SÃO PEDRO,DU MODESTO,PV,779,0.04098274410774411
MACATUBA,ANDERSON FERREIRA,PSD,4399,0.4562804688310341
MACATUBA,MARCOS OLIVATTO,PL,3196,0.331500881651281
MACATUBA,RUTH SOARES,PSB,921,0.09552950938699305
MACATUBA,TARCÍSIO MATEUS ABEL,PP,891,0.09241779898350794
MACATUBA,ZÉ BURACO,PRD,234,0.024271341147183902
FLÓRIDA PAULISTA,DR ANDRIOTTI,PL,2891,0.4930081855388813
FLÓRIDA PAULISTA,NEI GAZOLA,UNIÃO,2698,0.46009549795361526
FLÓRIDA PAULISTA,ROSE FORATO,PT,275,0.04689631650750341
PARISI,OCLAIR BENTO,PSDB,1690,0.6167883211678832
PARISI,IVO DA ROSINEI,PSD,1050,0.38321167883211676
SUMARÉ,HENRIQUE DO PARAÍSO,REPUBLICANOS,57171,0.4440672963400236
SUMARÉ,WILLIAN SOUZA,PT,40550,0.3149661343441248
SUMARÉ,EDER DALBEN,CIDADANIA,21819,0.16947585906916052
SUMARÉ,TONINHO MINEIRO,MOBILIZA,5960,0.046293419499161124
SUMARÉ,ANA CLÉIA,REDE,3244,0.025197290747529983
MARÍLIA,VINICIUS CAMARINHA,PSDB,62050,0.5473229249360501
MARÍLIA,RICARDINHO MUSTAFA,PL,22713,0.20034400635088648
MARÍLIA,GARCIA DA HADASSA,NOVO,18625,0.16428508423745258
MARÍLIA,NAYARA MAZINI,PSOL,6414,0.05657581370732998
MARÍLIA,JOÃO PINHEIRO,PRTB,3397,0.0299638352297786
MARÍLIA,LILIAN MIRANDA,PCO,171,0.0015083355385022493
FERRAZ DE VASCONCELOS,PRISCILA GAMBALE,PODE,51200,0.5574609396265447
FERRAZ DE VASCONCELOS,DR RAFU JR,PL,35081,0.3819587348249769
FERRAZ DE VASCONCELOS,DR JORGE,PSB,4821,0.052490609178507265
FERRAZ DE VASCONCELOS,DOUTOR CAETANO,PDT,743,0.008089716369971148
CARAPICUÍBA,JOSÉ ROBERTO,PSD,141274,0.8029304112578717
CARAPICUÍBA,SERGIO RIBEIRO,PT,25876,0.14706617864369018
CARAPICUÍBA,PROFESSOR LUCENA,PSOL,3265,0.018556619001068496
CARAPICUÍBA,DUDU DE PAULA,AGIR,3109,0.01766999340714302
CARAPICUÍBA,DR EVALDO ALMEIDA,MOBILIZA,2424,0.013776797690226657
ARARAQUARA,DR. LAPENA,PL,55158,0.4918146800770383
ARARAQUARA,ELIANA HONAIN,PT,50647,0.4515924816320708
ARARAQUARA,PEDRO TEDDE,NOVO,5009,0.0446626007561167
ARARAQUARA,DOUTOR MARCOS GARRIDO,PSD,1134,0.010111277551893859
ARARAQUARA,TIAGO PIRES,PCO,204,0.0018189599828803767
SALES,JOSEMAR,PSD,2555,0.5732555530625981
SALES,PROFESSOR AROLDO,REPUBLICANOS,1902,0.4267444469374018
AVARÉ,ROBERTO ARAUJO,PL,11551,0.27664415385352303
AVARÉ,MARCELO ORTEGA,PODE,11443,0.2740575753221248
AVARÉ,DENILSON ZIROLDO,PSD,10092,0.24170139387843081
AVARÉ,ELISANDRA DO JOSELYR,PSB,5536,0.13258609953537387
AVARÉ,SILVANO PORTO,PT,3132,0.07501077741054749
FRANCISCO MORATO,ILDO GUSMÃO,REPUBLICANOS,48631,0.6088464331321832
FRANCISCO MORATO,DOUGLAS CAVALCANTE,MDB,29620,0.3708340636502491
FRANCISCO MORATO,JAQUELINE FREIRE,PSOL,1623,0.020319503217567668
MIGUELÓPOLIS,JÚLIO ENFERMEIRO,PSB,4478,0.38074993622991243
MIGUELÓPOLIS,JUED DO DR MATA,PSD,4177,0.35515687441544086
MIGUELÓPOLIS,LEANDRO PIPOCA,MDB,2472,0.21018620865572654
MIGUELÓPOLIS,DR SÉRGIO BARBOSA,REPUBLICANOS,634,0.05390698069892016
REDENÇÃO DA SERRA,JUCIMAR,PL,2841,0.8370654095462581
REDENÇÃO DA SERRA,ISMAEL DREYFUS,REPUBLICANOS,553,0.1629345904537419
CASTILHO,PAULO BOAVENTURA,PP,5431,0.4488429752066116
CASTILHO,JONI BUZZACCHERO,PSDB,4486,0.37074380165289256
CASTILHO,FÁTIMA NASCIMENTO,UNIÃO,1849,0.1528099173553719
CASTILHO,LOURIVAL DO MST,PT,220,0.01818181818181818
CASTILHO,TONINHO MARINHO,DC,114,0.009421487603305785
FRANCA,ALEXANDRE FERREIRA,MDB,73496,0.47172088008010066
FRANCA,JOÃO ROCHA,PL,44545,0.28590408461913686
FRANCA,GUILHERME CORTEZ,PSOL,22818,0.14645323611717287
FRANCA,MARIANA NEGRI,PT,7821,0.05019768426998023
FRANCA,DR. UBIALI,PSB,5359,0.03439577931246951
FRANCA,ALEXANDRE TABAH,NOVO,1348,0.008651895971862084
FRANCA,TITO,PCB,236,0.0015147236271212548
