NR_ZONA,NM_VOTAVEL,SG_PARTIDO,QT_VOTOS,BAIRRO,RANK
248,GUILHERME BOULOS,PSOL,30732,VILA CURUCA,2
248,RICARDO NUNES,MDB,28643,VILA CURUCA,3
248,TABATA AMARAL,PSB,9085,VILA CURUCA,4
248,DATENA,PSDB,2453,VILA CURUCA,5
248,MARINA HELENA,NOVO,1106,VILA CURUCA,6
248,RICARDO SENESE,UP,136,VILA CURUCA,7
248,ALTINO PRAZERES,PSTU,50,VILA CURUCA,8
248,JOÃO PIMENTA,PCO,18,VILA CURUCA,9
248,BEBETO HADDAD,DC,13,VILA CURUCA,10
248,PABLO MARÇAL,PRTB,31778,ITAQUERA,1
248,GUILHERME BOULOS,PSOL,30732,ITAQUERA,2
248,RICARDO NUNES,MDB,28643,ITAQUERA,3
248,TABATA AMARAL,PSB,9085,ITAQUERA,4
248,DATENA,PSDB,2453,ITAQUERA,5
248,MARINA HELENA,NOVO,1106,ITAQUERA,6
248,RICARDO SENESE,UP,136,ITAQUERA,7
248,ALTINO PRAZERES,PSTU,50,ITAQUERA,8
248,JOÃO PIMENTA,PCO,18,ITAQUERA,9
248,BEBETO HADDAD,DC,13,ITAQUERA,10
249,PABLO MARÇAL,PRTB,22557,CID LIDER,1
249,RICARDO NUNES,MDB,22345,CID LIDER,2
249,GUILHERME BOULOS,PSOL,17460,CID LIDER,3
249,TABATA AMARAL,PSB,8175,CID LIDER,4
249,MARINA HELENA,NOVO,1534,CID LIDER,5
249,DATENA,PSDB,966,CID LIDER,6
249,RICARDO SENESE,UP,88,CID LIDER,7
249,ALTINO PRAZERES,PSTU,47,CID LIDER,8
249,JOÃO PIMENTA,PCO,13,CID LIDER,9
249,BEBETO HADDAD,DC,10,CID LIDER,10
250,RICARDO NUNES,MDB,25476,LAPA,1
250,PABLO MARÇAL,PRTB,24241,LAPA,2
250,GUILHERME BOULOS,PSOL,24065,LAPA,3
250,TABATA AMARAL,PSB,11938,LAPA,4
250,MARINA HELENA,NOVO,1973,LAPA,5
250,DATENA,PSDB,1220,LAPA,6
250,RICARDO SENESE,UP,82,LAPA,7
250,ALTINO PRAZERES,PSTU,56,LAPA,8
250,JOÃO PIMENTA,PCO,18,LAPA,9
250,BEBETO HADDAD,DC,15,LAPA,10
250,RICARDO NUNES,MDB,25476,JAGUARA,1
250,PABLO MARÇAL,PRTB,24241,JAGUARA,2
250,GUILHERME BOULOS,PSOL,24065,JAGUARA,3
250,TABATA AMARAL,PSB,11938,JAGUARA,4
250,MARINA HELENA,NOVO,1973,JAGUARA,5
250,DATENA,PSDB,1220,JAGUARA,6
250,RICARDO SENESE,UP,82,JAGUARA,7
250,ALTINO PRAZERES,PSTU,56,JAGUARA,8
250,JOÃO PIMENTA,PCO,18,JAGUARA,9
250,BEBETO HADDAD,DC,15,JAGUARA,10
250,RICARDO NUNES,MDB,25476,VILA LEOPOLDINA,1
250,PABLO MARÇAL,PRTB,24241,VILA LEOPOLDINA,2
250,GUILHERME BOULOS,PSOL,24065,VILA LEOPOLDINA,3
250,TABATA AMARAL,PSB,11938,VILA LEOPOLDINA,4
250,MARINA HELENA,NOVO,1973,VILA LEOPOLDINA,5
250,DATENA,PSDB,1220,VILA LEOPOLDINA,6
250,RICARDO SENESE,UP,82,VILA LEOPOLDINA,7
250,ALTINO PRAZERES,PSTU,56,VILA LEOPOLDINA,8
250,JOÃO PIMENTA,PCO,18,VILA LEOPOLDINA,9
250,BEBETO HADDAD,DC,15,VILA LEOPOLDINA,10
251,GUILHERME BOULOS,PSOL,27884,ALTO DE PINHEIROS,1
251,RICARDO NUNES,MDB,20715,ALTO DE PINHEIROS,2
251,PABLO MARÇAL,PRTB,13132,ALTO DE PINHEIROS,3
251,TABATA AMARAL,PSB,12992,ALTO DE PINHEIROS,4
251,MARINA HELENA,NOVO,1816,ALTO DE PINHEIROS,5
251,DATENA,PSDB,581,ALTO DE PINHEIROS,6
251,RICARDO SENESE,UP,84,ALTO DE PINHEIROS,7
251,ALTINO PRAZERES,PSTU,48,ALTO DE PINHEIROS,8
251,JOÃO PIMENTA,PCO,29,ALTO DE PINHEIROS,9
251,BEBETO HADDAD,DC,15,ALTO DE PINHEIROS,10
251,GUILHERME BOULOS,PSOL,27884,PINHEIROS,1
251,RICARDO NUNES,MDB,20715,PINHEIROS,2
251,PABLO MARÇAL,PRTB,13132,PINHEIROS,3
251,TABATA AMARAL,PSB,12992,PINHEIROS,4
251,MARINA HELENA,NOVO,1816,PINHEIROS,5
251,DATENA,PSDB,581,PINHEIROS,6
251,RICARDO SENESE,UP,84,PINHEIROS,7
251,ALTINO PRAZERES,PSTU,48,PINHEIROS,8
251,JOÃO PIMENTA,PCO,29,PINHEIROS,9
251,BEBETO HADDAD,DC,15,PINHEIROS,10
252,PABLO MARÇAL,PRTB,23787,PENHA,1
252,RICARDO NUNES,MDB,20747,PENHA,2
252,GUILHERME BOULOS,PSOL,18945,PENHA,3
252,TABATA AMARAL,PSB,7585,PENHA,4
252,DATENA,PSDB,1464,PENHA,5
252,MARINA HELENA,NOVO,1136,PENHA,6
252,RICARDO SENESE,UP,75,PENHA,7
252,ALTINO PRAZERES,PSTU,59,PENHA,8
252,JOÃO PIMENTA,PCO,13,PENHA,9
252,BEBETO HADDAD,DC,12,PENHA,10
253,PABLO MARÇAL,PRTB,35693,TATUAPE,1
253,RICARDO NUNES,MDB,33243,TATUAPE,2
253,GUILHERME BOULOS,PSOL,23977,TATUAPE,3
253,TABATA AMARAL,PSB,11813,TATUAPE,4
253,MARINA HELENA,NOVO,2113,TATUAPE,5
253,DATENA,PSDB,1500,TATUAPE,6
253,RICARDO SENESE,UP,99,TATUAPE,7
253,ALTINO PRAZERES,PSTU,43,TATUAPE,8
253,JOÃO PIMENTA,PCO,25,TATUAPE,9
253,BEBETO HADDAD,DC,15,TATUAPE,10
253,PABLO MARÇAL,PRTB,35693,CARRAO,1
253,RICARDO NUNES,MDB,33243,CARRAO,2
253,GUILHERME BOULOS,PSOL,23977,CARRAO,3
253,TABATA AMARAL,PSB,11813,CARRAO,4
253,MARINA HELENA,NOVO,2113,CARRAO,5
253,DATENA,PSDB,1500,CARRAO,6
253,RICARDO SENESE,UP,99,CARRAO,7
253,ALTINO PRAZERES,PSTU,43,CARRAO,8
253,JOÃO PIMENTA,PCO,25,CARRAO,9
253,BEBETO HADDAD,DC,15,CARRAO,10
253,PABLO MARÇAL,PRTB,35693,ARICANDUVA,1
253,RICARDO NUNES,MDB,33243,ARICANDUVA,2
253,GUILHERME BOULOS,PSOL,23977,ARICANDUVA,3
253,TABATA AMARAL,PSB,11813,ARICANDUVA,4
253,MARINA HELENA,NOVO,2113,ARICANDUVA,5
253,DATENA,PSDB,1500,ARICANDUVA,6
253,RICARDO SENESE,UP,99,ARICANDUVA,7
253,ALTINO PRAZERES,PSTU,43,ARICANDUVA,8
253,JOÃO PIMENTA,PCO,25,ARICANDUVA,9
253,BEBETO HADDAD,DC,15,ARICANDUVA,10
254,PABLO MARÇAL,PRTB,33982,VILA MARIA,1
254,RICARDO NUNES,MDB,33248,VILA MARIA,2
254,GUILHERME BOULOS,PSOL,21677,VILA MARIA,3
254,TABATA AMARAL,PSB,8922,VILA MARIA,4
254,DATENA,PSDB,1938,VILA MARIA,5
254,MARINA HELENA,NOVO,1321,VILA MARIA,6
254,RICARDO SENESE,UP,105,VILA MARIA,7
254,ALTINO PRAZERES,PSTU,42,VILA MARIA,8
254,JOÃO PIMENTA,PCO,17,VILA MARIA,9
254,BEBETO HADDAD,DC,13,VILA MARIA,10
254,PABLO MARÇAL,PRTB,33982,CAMBUCI,1
254,RICARDO NUNES,MDB,33248,CAMBUCI,2
254,GUILHERME BOULOS,PSOL,21677,CAMBUCI,3
254,TABATA AMARAL,PSB,8922,CAMBUCI,4
254,DATENA,PSDB,1938,CAMBUCI,5
254,MARINA HELENA,NOVO,1321,CAMBUCI,6
254,RICARDO SENESE,UP,105,CAMBUCI,7
254,ALTINO PRAZERES,PSTU,42,CAMBUCI,8
254,JOÃO PIMENTA,PCO,17,CAMBUCI,9
254,BEBETO HADDAD,DC,13,CAMBUCI,10
255,RICARDO NUNES,MDB,40322,CASA VERDE,1
255,PABLO MARÇAL,PRTB,36012,CASA VERDE,2
255,GUILHERME BOULOS,PSOL,31012,CASA VERDE,3
255,TABATA AMARAL,PSB,12025,CASA VERDE,4
255,DATENA,PSDB,2505,CASA VERDE,5
255,MARINA HELENA,NOVO,1634,CASA VERDE,6
255,RICARDO SENESE,UP,138,CASA VERDE,7
255,ALTINO PRAZERES,PSTU,58,CASA VERDE,8
255,BEBETO HADDAD,DC,21,CASA VERDE,9
255,JOÃO PIMENTA,PCO,16,CASA VERDE,10
255,RICARDO NUNES,MDB,40322,LIMAO,1
255,PABLO MARÇAL,PRTB,36012,LIMAO,2
255,GUILHERME BOULOS,PSOL,31012,LIMAO,3
255,TABATA AMARAL,PSB,12025,LIMAO,4
255,DATENA,PSDB,2505,LIMAO,5
255,MARINA HELENA,NOVO,1634,LIMAO,6
255,RICARDO SENESE,UP,138,LIMAO,7
255,ALTINO PRAZERES,PSTU,58,LIMAO,8
255,BEBETO HADDAD,DC,21,LIMAO,9
255,JOÃO PIMENTA,PCO,16,LIMAO,10
255,RICARDO NUNES,MDB,40322,CACHOEIRINHA,1
255,PABLO MARÇAL,PRTB,36012,CACHOEIRINHA,2
255,GUILHERME BOULOS,PSOL,31012,CACHOEIRINHA,3
255,TABATA AMARAL,PSB,12025,CACHOEIRINHA,4
255,DATENA,PSDB,2505,CACHOEIRINHA,5
255,MARINA HELENA,NOVO,1634,CACHOEIRINHA,6
255,RICARDO SENESE,UP,138,CACHOEIRINHA,7
255,ALTINO PRAZERES,PSTU,58,CACHOEIRINHA,8
255,BEBETO HADDAD,DC,21,CACHOEIRINHA,9
255,JOÃO PIMENTA,PCO,16,CACHOEIRINHA,10
256,PABLO MARÇAL,PRTB,37324,TUCURUVI,1
256,RICARDO NUNES,MDB,34853,TUCURUVI,2
256,GUILHERME BOULOS,PSOL,27573,TUCURUVI,3
256,TABATA AMARAL,PSB,11089,TUCURUVI,4
256,DATENA,PSDB,2226,TUCURUVI,5
256,MARINA HELENA,NOVO,1628,TUCURUVI,6
256,RICARDO SENESE,UP,108,TUCURUVI,7
256,ALTINO PRAZERES,PSTU,66,TUCURUVI,8
256,BEBETO HADDAD,DC,25,TUCURUVI,9
256,JOÃO PIMENTA,PCO,15,TUCURUVI,10
256,PABLO MARÇAL,PRTB,37324,VILA GUILHERME,1
256,RICARDO NUNES,MDB,34853,VILA GUILHERME,2
256,GUILHERME BOULOS,PSOL,27573,VILA GUILHERME,3
256,TABATA AMARAL,PSB,11089,VILA GUILHERME,4
256,DATENA,PSDB,2226,VILA GUILHERME,5
256,MARINA HELENA,NOVO,1628,VILA GUILHERME,6
256,RICARDO SENESE,UP,108,VILA GUILHERME,7
256,ALTINO PRAZERES,PSTU,66,VILA GUILHERME,8
256,BEBETO HADDAD,DC,25,VILA GUILHERME,9
256,JOÃO PIMENTA,PCO,15,VILA GUILHERME,10
256,PABLO MARÇAL,PRTB,37324,TREMEMBE,1
256,RICARDO NUNES,MDB,34853,TREMEMBE,2
256,GUILHERME BOULOS,PSOL,27573,TREMEMBE,3
256,TABATA AMARAL,PSB,11089,TREMEMBE,4
256,DATENA,PSDB,2226,TREMEMBE,5
256,MARINA HELENA,NOVO,1628,TREMEMBE,6
256,RICARDO SENESE,UP,108,TREMEMBE,7
256,ALTINO PRAZERES,PSTU,66,TREMEMBE,8
256,BEBETO HADDAD,DC,25,TREMEMBE,9
